Model Year,Brand Name,Model Name,Engine capacity,Spare key,Transmission,KM driven,Ownership,Fuel type,Imperfections,Repainted Parts
2018,Maruti,Baleno ZETA PETROL 1.2,1197,No,Manual,43680,1,Petrol,7,2
2021,Maruti,XL6 ZETA MT,1462,No,Manual,54421,1,Petrol,1,0
2012,Maruti,Swift VDI,1248,No,Manual,62234,2,Diesel,4,12
2021,Maruti,XL6 ZETA MT,1462,Yes,Manual,53293,1,Petrol,1,0
2019,Maruti,Dzire VXI AMT,1197,Yes,Automatic,19029,1,Petrol,1,2
2021,Maruti,Swift VXI,1197,Yes,Manual,23180,1,Petrol,4,2
2014,Maruti,Celerio VXI AMT,998,Yes,Automatic,58071,3,Petrol,6,0
2020,Maruti,Alto LXI,796,Yes,Manual,62586,2,Petrol,3,2
2015,Maruti,Baleno DELTA PETROL 1.2,1197,No,Manual,61446,2,Petrol,21,9
2013,Maruti,Alto K10 VXI,998,No,Manual,62715,2,Petrol,10,8
2020,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,55997,1,Petrol,5,3
2012,Maruti,Ritz VXI,1197,Yes,Manual,42582,1,Petrol,11,27
2014,Maruti,Wagon R 1.0 VXI,998,Yes,Manual,22765,1,Petrol,6,6
2021,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,31437,1,Petrol,8,5
2018,Maruti,Ciaz SIGMA 1.5 SHVS MT PETROL,1462,No,Manual,29010,1,Petrol,6,3
2022,Maruti,Alto VXI,796,Yes,Manual,10612,1,Petrol,1,1
2019,Maruti,Baleno ALPHA CVT PETROL 1.2,1197,Yes,Automatic,32201,1,Petrol,4,2
2017,Maruti,Alto 800 LXI,796,Yes,Manual,49061,1,Petrol,10,5
2021,Maruti,S PRESSO VXI+,998,No,Manual,10266,1,Petrol,0,0
2017,Maruti,Baleno ALPHA PETROL 1.2,1197,No,Manual,47626,2,Petrol,3,3
2023,Maruti,Alto K10 LXI,998,No,Manual,16628,1,Petrol,0,0
2013,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,64400,2,CNG,0,0
2017,Maruti,Swift VXI,1197,No,Manual,74579,1,Petrol,8,3
2014,Maruti,Wagon R 1.0 LXI CNG,998,No,Manual,28118,1,CNG,2,2
2015,Maruti,Wagon R 1.0 LXI CNG,998,Yes,Manual,52646,1,CNG,13,2
2016,Maruti,Celerio ZXI AMT,998,No,Automatic,42692,1,Petrol,14,3
2017,Maruti,Baleno ZETA PETROL 1.2,1197,Yes,Manual,94021,2,Petrol,3,0
2023,Maruti,XL6 ZETA CNG,1462,Yes,Manual,32447,1,CNG,1,0
2019,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,86195,1,CNG,3,2
2023,Maruti,XL6 ALPHA PLUS MT,1462,Yes,Manual,21398,1,Petrol,2,2
2013,Maruti,Swift Dzire VDI,1248,Yes,Manual,40081,1,Diesel,8,14
2020,Maruti,New Wagon-R LXI CNG 1.0,998,Yes,Manual,57184,1,CNG,3,2
2016,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,1248,Yes,Manual,72213,1,Diesel,13,3
2021,Maruti,Baleno ZETA CVT PETROL 1.2,1197,Yes,Automatic,16690,1,Petrol,4,2
2018,Maruti,Baleno DELTA CVT PETROL 1.2,1197,Yes,Automatic,33974,1,Petrol,8,4
